Checking duplicate records in file ticdata2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3462,34,1,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4363,34,1,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4295,34,1,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4175,34,1,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 records with same values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,sd_cust_subtype,sd_no_of_houses,sd_avg_household,sd_avg_age_band,sd_cust_maintype,sd_religion_catholic,sd_religion_protestant,sd_religion_other,sd_religion_no,sd_rel_married,sd_rel_living_tg,sd_rel_other,sd_rel_no_singles,sd_hshold_wo_children,sd_hshold_w_children,sd_education_higher,sd_education_medium,sd_education_lower,sd_empst_high,sd_empst_Entrepr ,sd_empst_farmer,sd_empst_mdl_mgmt,sd_empst_skill_labour,sd_empst_unskill_labour,sd_socialclassA,sd_socialclassB1,sd_socialclassB2,sd_socialclassC,sd_socialclassD,sd_rentedhouse,sd_homeowners,sd_car_1,sd_car_2,sd_car_0,sd_health_ins_national,sd_health_ins_private,sd_income_l_30k,sd_income_30k_45k,sd_income_45k_75k,sd_income_75k_122k,sd_income_g_123k,sd_income_avg,sd_p_power_class,po_ins_pol_thirdparty_pvt,po_ins_pol_thirdparty_firms,po_ins_pol_thirdparty_agri,po_ins_pol_car,po_ins_pol_del_van,po_ins_pol_motorcycle_sc,po_ins_pol_lorry,po_ins_pol_trailer,po_ins_pol_tractor,po_ins_pol_agri_machines,po_ins_pol_moped,po_ins_pol_life,po_ins_pol_accident_ins_pvt,po_ins_pol_accident_ins_fam,po_ins_pol_disability,po_ins_pol_fire,po_ins_pol_surfboard,po_ins_pol_boat,po_ins_pol_bicycle,po_ins_pol_property,po_ins_pol_social security,po_no_ins_pol_thirdparty_pvt,po_no_ins_pol_thirdparty_firms,po_no_ins_pol_thirdparty_agri,po_no_ins_pol_car,po_no_ins_pol_del_van,po_no_ins_pol_motorcycle_sc,po_no_ins_pol_lorry,po_no_ins_pol_trailer,po_no_ins_pol_tractor,po_no_ins_pol_agri_machines,po_no_ins_pol_moped,po_no_ins_pol_life,po_no_ins_pol_accident_ins_pvt,po_no_ins_pol_accident_ins_fam,po_no_ins_pol_disability,po_no_ins_pol_fire,po_no_ins_pol_surfboard,po_no_ins_pol_boat,po_no_ins_pol_bicycle,po_no_ins_pol_property,po_no_ins_pol_social security,po_ins_pol_caravan,df_combined
4046,11,2,2,5,3,2,4,4,0,5,0,4,4,2,3,2,3,4,4,0,0,2,0,4,4,2,0,0,4,0,9,4,2,4,5,4,3,5,1,1,0,3,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11_2_2_5_3_2_4_4_0_5_0_4_4_2_3_2_3_4_4_0_0_2_0_4_4_2_0_0_4_0_9_4_2_4_5_4_3_5_1_1_0_3_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_11_2_2_5_3_2_4_4_0_5_0_4_4_2_3_2_3_4_4_0_0_2_0_4_4_2_0_0_4_0_9_4_2_4_5_4_3_5_1_1_0_3_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
2631,11,2,2,5,3,2,4,4,0,5,0,4,4,2,3,2,3,4,4,0,0,2,0,4,4,2,0,0,4,0,9,4,2,4,5,4,3,5,1,1,0,3,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11_2_2_5_3_2_4_4_0_5_0_4_4_2_3_2_3_4_4_0_0_2_0_4_4_2_0_0_4_0_9_4_2_4_5_4_3_5_1_1_0_3_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_11_2_2_5_3_2_4_4_0_5_0_4_4_2_3_2_3_4_4_0_0_2_0_4_4_2_0_0_4_0_9_4_2_4_5_4_3_5_1_1_0_3_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1736,11,2,2,5,3,2,4,4,0,5,0,4,4,2,3,2,3,4,4,0,0,2,0,4,4,2,0,0,4,0,9,4,2,4,5,4,3,5,1,1,0,3,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11_2_2_5_3_2_4_4_0_5_0_4_4_2_3_2_3_4_4_0_0_2_0_4_4_2_0_0_4_0_9_4_2_4_5_4_3_5_1_1_0_3_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_11_2_2_5_3_2_4_4_0_5_0_4_4_2_3_2_3_4_4_0_0_2_0_4_4_2_0_0_4_0_9_4_2_4_5_4_3_5_1_1_0_3_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1470,11,2,2,5,3,2,4,4,0,5,0,4,4,2,3,2,3,4,4,0,0,2,0,4,4,2,0,0,4,0,9,4,2,4,5,4,3,5,1,1,0,3,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11_2_2_5_3_2_4_4_0_5_0_4_4_2_3_2_3_4_4_0_0_2_0_4_4_2_0_0_4_0_9_4_2_4_5_4_3_5_1_1_0_3_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_11_2_2_5_3_2_4_4_0_5_0_4_4_2_3_2_3_4_4_0_0_2_0_4_4_2_0_0_4_0_9_4_2_4_5_4_3_5_1_1_0_3_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
171,11,2,2,5,3,2,4,4,0,5,0,4,4,2,3,2,3,4,4,0,0,2,0,4,4,2,0,0,4,0,9,4,2,4,5,4,3,5,1,1,0,3,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11_2_2_5_3_2_4_4_0_5_0_4_4_2_3_2_3_4_4_0_0_2_0_4_4_2_0_0_4_0_9_4_2_4_5_4_3_5_1_1_0_3_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_11_2_2_5_3_2_4_4_0_5_0_4_4_2_3_2_3_4_4_0_0_2_0_4_4_2_0_0_4_0_9_4_2_4_5_4_3_5_1_1_0_3_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3285,23,1,1,2,5,1,4,1,4,2,2,5,5,3,1,1,4,4,2,0,0,2,2,4,2,1,2,5,1,7,2,6,0,3,7,2,4,3,2,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23_1_1_2_5_1_4_1_4_2_2_5_5_3_1_1_4_4_2_0_0_2_2_4_2_1_2_5_1_7_2_6_0_3_7_2_4_3_2_1_0_3_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_23_1_1_2_5_1_4_1_4_2_2_5_5_3_1_1_4_4_2_0_0_2_2_4_2_1_2_5_1_7_2_6_0_3_7_2_4_3_2_1_0_3_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
938,23,1,1,2,5,1,4,1,4,2,2,5,5,3,1,1,4,4,2,0,0,2,2,4,2,1,2,5,1,7,2,6,0,3,7,2,4,3,2,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23_1_1_2_5_1_4_1_4_2_2_5_5_3_1_1_4_4_2_0_0_2_2_4_2_1_2_5_1_7_2_6_0_3_7_2_4_3_2_1_0_3_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_23_1_1_2_5_1_4_1_4_2_2_5_5_3_1_1_4_4_2_0_0_2_2_4_2_1_2_5_1_7_2_6_0_3_7_2_4_3_2_1_0_3_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
4766,23,1,1,2,5,1,4,1,4,2,2,5,5,3,1,1,4,4,2,0,0,2,2,4,2,1,2,5,1,7,2,6,0,3,7,2,4,3,2,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23_1_1_2_5_1_4_1_4_2_2_5_5_3_1_1_4_4_2_0_0_2_2_4_2_1_2_5_1_7_2_6_0_3_7_2_4_3_2_1_0_3_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_23_1_1_2_5_1_4_1_4_2_2_5_5_3_1_1_4_4_2_0_0_2_2_4_2_1_2_5_1_7_2_6_0_3_7_2_4_3_2_1_0_3_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
4384,23,1,1,2,5,1,4,1,4,2,2,5,5,3,1,1,4,4,2,0,0,2,2,4,2,1,2,5,1,7,2,6,0,3,7,2,4,3,2,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23_1_1_2_5_1_4_1_4_2_2_5_5_3_1_1_4_4_2_0_0_2_2_4_2_1_2_5_1_7_2_6_0_3_7_2_4_3_2_1_0_3_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_23_1_1_2_5_1_4_1_4_2_2_5_5_3_1_1_4_4_2_0_0_2_2_4_2_1_2_5_1_7_2_6_0_3_7_2_4_3_2_1_0_3_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3964,23,1,1,2,5,1,4,1,4,2,2,5,5,3,1,1,4,4,2,0,0,2,2,4,2,1,2,5,1,7,2,6,0,3,7,2,4,3,2,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23_1_1_2_5_1_4_1_4_2_2_5_5_3_1_1_4_4_2_0_0_2_2_4_2_1_2_5_1_7_2_6_0_3_7_2_4_3_2_1_0_3_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_23_1_1_2_5_1_4_1_4_2_2_5_5_3_1_1_4_4_2_0_0_2_2_4_2_1_2_5_1_7_2_6_0_3_7_2_4_3_2_1_0_3_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
5810,33,1,3,2,8,0,4,0,5,9,0,0,0,3,6,0,4,5,0,0,0,2,5,3,0,2,2,5,2,0,9,9,0,0,9,0,1,5,4,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_2_8_0_4_0_5_9_0_0_0_3_6_0_4_5_0_0_0_2_5_3_0_2_2_5_2_0_9_9_0_0_9_0_1_5_4_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_2_8_0_4_0_5_9_0_0_0_3_6_0_4_5_0_0_0_2_5_3_0_2_2_5_2_0_9_9_0_0_9_0_1_5_4_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5778,33,1,3,2,8,0,4,0,5,9,0,0,0,3,6,0,4,5,0,0,0,2,5,3,0,2,2,5,2,0,9,9,0,0,9,0,1,5,4,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_2_8_0_4_0_5_9_0_0_0_3_6_0_4_5_0_0_0_2_5_3_0_2_2_5_2_0_9_9_0_0_9_0_1_5_4_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_2_8_0_4_0_5_9_0_0_0_3_6_0_4_5_0_0_0_2_5_3_0_2_2_5_2_0_9_9_0_0_9_0_1_5_4_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5639,33,1,3,2,8,0,4,0,5,9,0,0,0,3,6,0,4,5,0,0,0,2,5,3,0,2,2,5,2,0,9,9,0,0,9,0,1,5,4,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_2_8_0_4_0_5_9_0_0_0_3_6_0_4_5_0_0_0_2_5_3_0_2_2_5_2_0_9_9_0_0_9_0_1_5_4_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_2_8_0_4_0_5_9_0_0_0_3_6_0_4_5_0_0_0_2_5_3_0_2_2_5_2_0_9_9_0_0_9_0_1_5_4_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
